Date,rf
2019-03-22,9.403569521906948e-05
2019-03-25,9.372566120313048e-05
2019-03-26,9.43069574241223e-05
2019-03-27,9.326055551597808e-05
2019-03-28,9.295045168918037e-05
2019-03-29,9.132204357152671e-05
2019-04-01,9.112813566026679e-05
2019-04-02,9.295045168918037e-05
2019-04-03,9.306674230888394e-05
2019-04-04,9.295045168918037e-05
2019-04-05,9.295045168918037e-05
2019-04-08,9.275663257783609e-05
2019-04-09,9.275663257783609e-05
2019-04-10,9.267909673698394e-05
2019-04-11,9.275663257783609e-05
2019-04-12,9.314427057596082e-05
2019-04-15,9.2562794756514e-05
2019-04-16,9.326055551597808e-05
2019-04-17,9.333807999663188e-05
2019-04-18,9.275663257783609e-05
2019-04-22,9.314427057596082e-05
2019-04-23,9.372566120313048e-05
2019-04-24,9.314427057596082e-05
2019-04-25,9.275663257783609e-05
2019-04-26,9.2562794756514e-05
2019-04-29,9.2562794756514e-05
2019-04-30,9.287292887750997e-05
2019-05-01,9.267909673698394e-05
2019-05-02,9.306674230888394e-05
2019-05-03,9.287292887750997e-05
2019-05-06,9.267909673698394e-05
2019-05-07,9.287292887750997e-05
2019-05-08,9.295045168918037e-05
2019-05-09,9.295045168918037e-05
2019-05-10,9.295045168918037e-05
2019-05-13,9.217509995011755e-05
2019-05-14,9.229141329357387e-05
2019-05-15,9.217509995011755e-05
2019-05-16,9.170982172564239e-05
2019-05-17,9.139959668652762e-05
2019-05-20,9.101178821452527e-05
2019-05-21,9.139959668652762e-05
2019-05-22,9.101178821452527e-05
2019-05-23,9.03524277447773e-05
2019-05-24,8.977055190675813e-05
2019-05-28,9.015848169501675e-05
2019-05-29,9.015848169501675e-05
2019-05-30,9.06239418391751e-05
2019-05-31,8.996451691681948e-05
2019-06-03,8.946017521892829e-05
2019-06-04,9.004210581556049e-05
2019-06-05,8.965416464987002e-05
2019-06-06,8.849011354737605e-05
2019-06-07,8.69375047983033e-05
2019-06-10,8.713161758702739e-05
2019-06-11,8.685986442902245e-05
2019-06-12,8.499590079330988e-05
2019-06-13,8.402474705741703e-05
2019-06-14,8.344193330188726e-05
2019-06-17,8.394704041445413e-05
2019-06-18,8.511242475337626e-05
2019-06-19,8.344193330188726e-05
2019-06-20,8.161524449457046e-05
2019-06-21,8.072102504779452e-05
2019-06-24,8.083767460126627e-05
2019-06-25,8.180960852951439e-05
2019-06-26,8.219831730913005e-05
2019-06-27,8.18873570386909e-05
2019-06-28,7.994327989740638e-05
2019-07-01,8.110984046858587e-05
2019-07-02,8.433553988938069e-05
